id,intent,colloquial_query,canonical_query,rewrite_suggestion,slots,ontology_terms,source_hint,quality
INSQ000020,BENEFIT_RETURN,麻烦帮我查查包含护理权益的寿险产品有啥？？ 急用,包含护理权益的终身寿险产品有哪些？,包含护理权益的终身寿险产品有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""护理权益""}","[""终身寿险"", ""护理权益"", ""健康告知""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000021,BENEFIT_RETURN,请问包含护理权益的终身寿产品有啥？ 尽量说人话,包含护理权益的终身寿险产品有哪些？,包含护理权益的终身寿险产品有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""护理权益""}","[""终身寿险"", ""护理权益"", ""健康告知""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000025,POLICY_VALIDITY,想了解下利安鑫利来金瑜版寿险2022版跟以前版本在等怠期上有什么差异？,利安鑫利来金瑜版终身寿险2022版与其他版本在等待期上有什么差异？,利安鑫利来金瑜版终身寿险2022版与其他版本在等待期上有什么差异？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""等待期"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""等待期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000026,POLICY_VALIDITY,利安鑫利来金瑜版终身寿2022版跟以前版本在等待期上有什么差异？,利安鑫利来金瑜版终身寿险2022版与其他版本在等待期上有什么差异？,利安鑫利来金瑜版终身寿险2022版与其他版本在等待期上有什么差异？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""等待期"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""等待期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000027,POLICY_VALIDITY,利安鑫利来金瑜版终身寿2022版跟以前版本在等带期上有什么差异？？ 急用,利安鑫利来金瑜版终身寿险2022版与其他版本在等待期上有什么差异？,利安鑫利来金瑜版终身寿险2022版与其他版本在等待期上有什么差异？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""等待期"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""等待期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000028,COVERAGE_EXCLUSION,我想问问终身寿险的常见免责有啥？,终身寿险的常见免责有哪些？,终身寿险的常见免责有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""现金价值""}","[""终身寿险"", ""现金价值"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000029,COVERAGE_EXCLUSION,想了解下终身寿的常见免则有啥？ 尽量说人话,终身寿险的常见免责有哪些？,终身寿险的常见免责有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""现金价值""}","[""终身寿险"", ""现金价值"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000030,COVERAGE_EXCLUSION,能不能寿险的常见免则有啥？ 尽量说人话,终身寿险的常见免责有哪些？,终身寿险的常见免责有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""现金价值""}","[""终身寿险"", ""现金价值"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000031,CLAIM_PROCESS,能不能终身寿产品的理赔须知怎么说？,终身寿险产品的理赔须知如何表述？,终身寿险产品的理赔须知如何表述？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""健康告知""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000032,CLAIM_PROCESS,请问终身寿险产品的理赔须知怎么说？,终身寿险产品的理赔须知如何表述？,终身寿险产品的理赔须知如何表述？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""健康告知""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000033,CLAIM_PROCESS,终身寿险产品的理赔须知怎么说？,终身寿险产品的理赔须知如何表述？,终身寿险产品的理赔须知如何表述？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""健康告知""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000034,PREMIUM_RATE,想了解下终寿的费率表如何阅读？？ 谢谢,终身寿险的费率表如何阅读？,终身寿险的费率表如何阅读？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000035,PREMIUM_RATE,终身寿险的费率表如何阅读？,终身寿险的费率表如何阅读？,终身寿险的费率表如何阅读？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000036,PREMIUM_RATE,看看终身寿险的费率表如何阅读？ 谢谢,终身寿险的费率表如何阅读？,终身寿险的费率表如何阅读？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""保险金额""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000037,ELIGIBILITY,请问利安鑫利来金瑜版终身寿险的等待期与犹豫期分别多少？,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别是多少？,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别是多少？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""理赔流程"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""理赔流程""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000038,ELIGIBILITY,麻烦帮我查查利安鑫利来金瑜版终身寿险的等待期与犹豫期分别多少？,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别是多少？,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别是多少？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""理赔流程"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""理赔流程""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000039,ELIGIBILITY,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别多少？,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别是多少？,利安鑫利来金瑜版终身寿险的等待期与犹豫期分别是多少？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""理赔流程"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""理赔流程""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000040,BENEFIT_RETURN,我想问问生存金在5年内返还的寿险条款有啥？,生存金在5年内返还的寿险条款有哪些？,生存金在5年内返还的寿险条款有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""交费年期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000041,BENEFIT_RETURN,麻烦帮我查查生存金在5年内返还的寿险条款有啥？,生存金在5年内返还的寿险条款有哪些？,生存金在5年内返还的寿险条款有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""交费年期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000042,BENEFIT_RETURN,麻烦帮我查查生存金在5年内返还的寿险条款有啥？ 给业务能懂的说法,生存金在5年内返还的寿险条款有哪些？,生存金在5年内返还的寿险条款有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""交费年期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000043,COVERAGE_EXCLUSION,养老型保险的免则条款有啥？？,养老型保险的免责条款有哪些？,养老型保险的免责条款有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""交费年期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000044,COVERAGE_EXCLUSION,有没有养老型保险的免责条款有啥？？ 要简单点,养老型保险的免责条款有哪些？,养老型保险的免责条款有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""交费年期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000045,COVERAGE_EXCLUSION,能不能养老型保险的免则条款有啥？,养老型保险的免责条款有哪些？,养老型保险的免责条款有哪些？,"{""product_name"": ""利安鑫利来金瑜版终身寿险"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""保费豁免""}","[""终身寿险"", ""保费豁免"", ""交费年期""]",利安鑫利来金瑜版终身寿险,from_filename+limited_pdf
INSQ000046,ELIGIBILITY,请问利安安鑫慧享终身寿险分红型2022版的投保年龄多少？？ 急用,利安安鑫慧享终身寿险分红型2022版的投保年龄是多少？,利安安鑫慧享终身寿险分红型2022版的投保年龄是多少？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""健康告知""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000047,ELIGIBILITY,请问利安安鑫慧享终寿分红型2022版的投保年龄多少？？ 尽量说人话,利安安鑫慧享终身寿险分红型2022版的投保年龄是多少？,利安安鑫慧享终身寿险分红型2022版的投保年龄是多少？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""健康告知""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000048,ELIGIBILITY,我想问问利安安鑫慧享寿险分红型2022版的投保年龄多少？,利安安鑫慧享终身寿险分红型2022版的投保年龄是多少？,利安安鑫慧享终身寿险分红型2022版的投保年龄是多少？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""健康告知""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000049,ELIGIBILITY,我想问问利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""投保年龄"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""投保年龄""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000050,ELIGIBILITY,有没有利安安鑫慧享寿险分红型的可投年龄上下限与职业要求？ 快速说下,利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""投保年龄"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""投保年龄""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000051,ELIGIBILITY,有没有利安安鑫慧享终寿分红型的投保年龄上下限与职业要求？,利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,利安安鑫慧享终身寿险分红型的投保年龄上下限与职业要求？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""投保年龄"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""投保年龄""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000052,ELIGIBILITY,麻烦帮我查查年津保险产品中，交费年期一般如何约定？,养老/年金产品中，交费年期一般如何约定？,养老/年金产品中，交费年期一般如何约定？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""交费年期""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000053,ELIGIBILITY,我想问问年津险产品中，交费一般如何约定？？,养老/年金产品中，交费年期一般如何约定？,养老/年金产品中，交费年期一般如何约定？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""交费年期""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000054,ELIGIBILITY,养老/年金产品中，交费年期一般如何约定？？ 给业务能懂的说法,养老/年金产品中，交费年期一般如何约定？,养老/年金产品中，交费年期一般如何约定？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""交费年期"", ""benefit_type"": ""重疾保障""}","[""终身寿险"", ""重疾保障"", ""交费年期""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000055,PREMIUM_RATE,想了解下利安安鑫慧享终身寿险分红型的保费如何测算？,利安安鑫慧享终身寿险分红型的保费/费率如何测算？,利安安鑫慧享终身寿险分红型的保费/费率如何测算？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""保险金额""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000056,PREMIUM_RATE,利安安鑫慧享终身寿险分红型的价格如何测算？,利安安鑫慧享终身寿险分红型的保费/费率如何测算？,利安安鑫慧享终身寿险分红型的保费/费率如何测算？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""保险金额""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000057,PREMIUM_RATE,请问利安安鑫慧享终寿分红型的价格如何测算？ 尽量说人话,利安安鑫慧享终身寿险分红型的保费/费率如何测算？,利安安鑫慧享终身寿险分红型的保费/费率如何测算？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""保险金额"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""保险金额""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000058,COVERAGE_EXCLUSION,有没有利安安鑫慧享终身寿险分红型的免则条款有啥？ 快速说下,利安安鑫慧享终身寿险分红型的免责条款有哪些？,利安安鑫慧享终身寿险分红型的免责条款有哪些？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""意外保障""}","[""终身寿险"", ""意外保障"", ""职业类别""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000059,COVERAGE_EXCLUSION,有没有利安安鑫慧享终身寿险分红型的免则条款有啥？,利安安鑫慧享终身寿险分红型的免责条款有哪些？,利安安鑫慧享终身寿险分红型的免责条款有哪些？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""意外保障""}","[""终身寿险"", ""意外保障"", ""职业类别""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000060,COVERAGE_EXCLUSION,麻烦帮我查查利安安鑫慧享终身寿险分红型的免则条款有啥？,利安安鑫慧享终身寿险分红型的免责条款有哪些？,利安安鑫慧享终身寿险分红型的免责条款有哪些？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""意外保障""}","[""终身寿险"", ""意外保障"", ""职业类别""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000061,CLAIM_PROCESS,看看利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""职业类别""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000062,CLAIM_PROCESS,想了解下利安安鑫慧享寿险分红型的怎么赔与理赔材料要求？？ 要简单点,利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""职业类别""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000063,CLAIM_PROCESS,我想问问利安安鑫慧享终身寿险分红型的如何里赔与里赔材料要求？？ 尽量说人话,利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,利安安鑫慧享终身寿险分红型的理赔流程与理赔材料要求？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""职业类别"", ""benefit_type"": ""红利/分红""}","[""终身寿险"", ""红利/分红"", ""职业类别""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
INSQ000064,BENEFIT_RETURN,我想问问包含CCRC资格权益的终身寿险产品有啥？,包含CCRC资格权益的终身寿险产品有哪些？,包含CCRC资格权益的终身寿险产品有哪些？,"{""product_name"": ""利安安鑫慧享终身寿险分红型"", ""product_line"": ""终身寿险"", ""version_year"": ""2022"", ""field"": ""健康告知"", ""benefit_type"": ""CCRC资格权益""}","[""终身寿险"", ""CCRC资格权益"", ""健康告知""]",利安安鑫慧享终身寿险分红型,from_filename+limited_pdf
