doc_id,chunk_id,doc_type,tags,confidence,evidence
doc_279,,数据安全白皮书,aml,0.997,"【数据安全白皮书】第279号通报
反洗钱制度加强可疑交易监测与制裁名单比对。本通报说明产品更新、客服渠道与合规指引。
发布日期：2027年05月08日。生效日期：2027年06月07日。废止日期：2028年07月11日。产品代码：PRD02"
doc_261,,治理报告,rating,0.9917,"【治理报告】第261号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2027年01月02日。生效日期：2027年02月01日。废止日期：2028年03月07日。产品代码：PRD026"
doc_018,,ESG报告,esg;consumer_protection,0.997,"【ESG报告】第18号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年05月07日。生效日期：2022年06月06日。废止日期：2023 | 【ESG报告】第18号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年05月07日。生效日期：2022年06月06日。废止日期：2023年07月11日。产品代码：P"
doc_232,,年度报告,disclosure_gov,0.9917,"【年度报告】第232号通报
ESG专章要求公司治理与环境风险信息披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年06月13日。生效日期：2026年07月13日。废止日期：2027年08月17日。产品代码：PRD0232。版本：V2.0。当前状态：在"
doc_173,,销售信函,sales_compliance,0.9917,"【销售信函】第173号通报
营销合规指引要求禁止夸大承诺并保留双录。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年04月26日。生效日期：2025年05月26日。废止日期：2026年06月30日。产品代码：PRD0173"
doc_114,,治理报告,rating,0.9917,"【治理报告】第114号通报
根据最新监管评级通报，本公司风险综合评级提升至A类。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年03月09日。生效日期：2024年04月08日。废止日期：2025年05月13日。产品代码：PRD01"
doc_253,,年度报告,disclosure_gov,0.9237,"【年度报告】第253号通报
本产品强调ESG责任投资策略，绿色金融指标与碳中和承诺同步披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年11月07日。生效日期：2026年12月07日。废止日期"
doc_079,,治理报告,rating,0.9917,"【治理报告】第79号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2023年07月08日。生效日期：2023年08月07日。废止日期：2024年09月10日。产品代码：PRD007"
doc_012,,销售信函,sales_compliance,0.9917,"【销售信函】第12号通报
KYC与风险承受能力评估作为销售合规双录的前置步骤。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年03月26日。生效日期：2022年04月25日。废止日期：2023年05月30日。产品代码："
doc_137,,ESG报告,esg;consumer_protection,0.9758,"【ESG报告】第137号通报
投诉处理与适当性评估结果需留痕。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年08月17日。生效日期：2024年09月16日。废止日期：2025年10月21日。产 | 【ESG报告】第137号通报
投诉处理与适当性评估结果需留痕。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年08月17日。生效日期：2024年09月16日。废止日期：2025年10月21日。产品代码：PRD0137。版本："
doc_278,,销售信函,sales_compliance,0.9917,"【销售信函】第278号通报
KYC与风险承受能力评估作为销售合规双录的前置步骤。本通报说明产品更新、客服渠道与合规指引。
发布日期：2027年05月01日。生效日期：2027年05月31日。废止日期：2028年07月04日。产品代码："
doc_170,,治理报告,rating,0.9917,"【治理报告】第170号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年04月05日。生效日期：2025年05月05日。废止日期：2026年06月09日。产品代码：PRD017"
doc_159,,销售信函,sales_compliance,0.9917,"【销售信函】第159号通报
KYC与风险承受能力评估作为销售合规双录的前置步骤。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年01月18日。生效日期：2025年02月17日。废止日期：2026年03月24日。产品代码："
doc_101,,监管通报,data_security,0.9917,"【监管通报】第101号通报
条款强调个人信息保护与访问控制的加密机制。本通报说明产品更新、客服渠道与合规指引。
发布日期：2023年12月09日。生效日期：2024年01月08日。废止日期：2025年02月11日。产品代码：PRD0101。版本：V"
doc_156,,治理报告,rating,0.9917,"【治理报告】第156号通报
根据最新监管评级通报，本公司风险综合评级提升至A类。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年12月28日。生效日期：2025年01月27日。废止日期：2026年03月03日。产品代码：PRD01"
doc_166,,销售信函,sales_compliance,0.9917,"【销售信函】第166号通报
营销合规指引要求禁止夸大承诺并保留双录。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年03月08日。生效日期：2025年04月07日。废止日期：2026年05月12日。产品代码：PRD0166"
doc_242,,ESG报告,esg;consumer_protection,0.997,"【ESG报告】第242号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年08月22日。生效日期：2026年09月21日。废止日期：202 | 【ESG报告】第242号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年08月22日。生效日期：2026年09月21日。废止日期：2027年10月26日。产品代码：P"
doc_202,,数据安全白皮书,aml,0.997,"【数据安全白皮书】第202号通报
反洗钱制度加强可疑交易监测与制裁名单比对。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年11月15日。生效日期：2025年12月15日。废止日期：2027年01月19日。产品代码：PRD02"
doc_016,,治理报告,rating,0.9917,"【治理报告】第16号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年04月23日。生效日期：2022年05月23日。废止日期：2023年06月27日。产品代码：PRD001"
doc_218,,年度报告,disclosure_gov,0.9237,"【年度报告】第218号通报
本产品强调ESG责任投资策略，绿色金融指标与碳中和承诺同步披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年03月07日。生效日期：2026年04月06日。废止日期"
doc_244,,数据安全白皮书,aml,0.9917,"【数据安全白皮书】第244号通报
持续尽职调查与客户身份识别需在反恐融资范围执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年09月05日。生效日期：2026年10月05日。废止日期：2027年11月09日。产品代码：PRD0244。版本：V"
doc_199,,监管通报,data_security,0.9917,"【监管通报】第199号通报
系统执行脱敏与去标识化流程，确保数据最小必要。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年10月25日。生效日期：2025年11月24日。废止日期：2026年12月29日。产品代码：PRD0199。版本：V2.0。当前状态：在"
doc_047,,销售信函,sales_compliance,0.9917,"【销售信函】第47号通报
KYC与风险承受能力评估作为销售合规双录的前置步骤。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年11月26日。生效日期：2022年12月26日。废止日期：2024年01月30日。产品代码："
doc_144,,ESG报告,esg;consumer_protection,0.997,"【ESG报告】第144号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年10月05日。生效日期：2024年11月04日。废止日期：202 | 【ESG报告】第144号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年10月05日。生效日期：2024年11月04日。废止日期：2025年12月09日。产品代码：P"
doc_146,,数据安全白皮书,aml,0.9917,"【数据安全白皮书】第146号通报
持续尽职调查与客户身份识别需在反恐融资范围执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年10月19日。生效日期：2024年11月18日。废止日期：2025年12月23日。产品代码：PRD0146。版本：V"
doc_212,,治理报告,rating,0.9917,"【治理报告】第212号通报
根据最新监管评级通报，本公司风险综合评级提升至A类。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年01月24日。生效日期：2026年02月23日。废止日期：2027年03月30日。产品代码：PRD02"
doc_038,,监管通报,data_security,0.9917,"【监管通报】第38号通报
系统执行脱敏与去标识化流程，确保数据最小必要。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年09月24日。生效日期：2022年10月24日。废止日期：2023年11月28日。产品代码：PRD0038。版本：V3.0。当前状态：已"
doc_121,,治理报告,rating,0.9917,"【治理报告】第121号通报
根据最新监管评级通报，本公司风险综合评级提升至A类。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年04月27日。生效日期：2024年05月27日。废止日期：2025年07月01日。产品代码：PRD01"
doc_010,,监管通报,data_security,0.9917,"【监管通报】第10号通报
条款强调个人信息保护与访问控制的加密机制。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年03月12日。生效日期：2022年04月11日。废止日期：2023年05月16日。产品代码：PRD0010。版本：V"
doc_193,,ESG报告,esg;consumer_protection,0.9758,"【ESG报告】第193号通报
投诉处理与适当性评估结果需留痕。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年09月13日。生效日期：2025年10月13日。废止日期：2026年11月17日。产 | 【ESG报告】第193号通报
投诉处理与适当性评估结果需留痕。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年09月13日。生效日期：2025年10月13日。废止日期：2026年11月17日。产品代码：PRD0193。版本："
doc_243,,销售信函,sales_compliance,0.9917,"【销售信函】第243号通报
营销合规指引要求禁止夸大承诺并保留双录。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年08月29日。生效日期：2026年09月28日。废止日期：2027年11月02日。产品代码：PRD0243"
doc_165,,ESG报告,esg;consumer_protection,0.997,"【ESG报告】第165号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年03月01日。生效日期：2025年03月31日。废止日期：202 | 【ESG报告】第165号通报
销售误导禁止条款及冷静期、犹豫期回访流程需严格执行。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年03月01日。生效日期：2025年03月31日。废止日期：2026年05月05日。产品代码：P"
doc_001,,年度报告,disclosure_gov,0.9237,"【年度报告】第1号通报
本产品强调ESG责任投资策略，绿色金融指标与碳中和承诺同步披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年01月08日。生效日期：2022年02月07日。废止日期：2"
doc_225,,年度报告,disclosure_gov,0.9917,"【年度报告】第225号通报
ESG专章要求公司治理与环境风险信息披露。本通报说明产品更新、客服渠道与合规指引。
发布日期：2026年04月25日。生效日期：2026年05月25日。废止日期：2027年06月29日。产品代码：PRD0225。版本：V1.0。当前状态：停"
doc_188,,数据安全白皮书,aml,0.997,"【数据安全白皮书】第188号通报
反洗钱制度加强可疑交易监测与制裁名单比对。本通报说明产品更新、客服渠道与合规指引。
发布日期：2025年08月09日。生效日期：2025年09月08日。废止日期：2026年10月13日。产品代码：PRD01"
doc_128,,治理报告,rating,0.9917,"【治理报告】第128号通报
监管评级排名报告要求补充分类监管整改计划。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年06月15日。生效日期：2024年07月15日。废止日期：2025年08月19日。产品代码：PRD012"
doc_024,,监管通报,data_security,0.9917,"【监管通报】第24号通报
条款强调个人信息保护与访问控制的加密机制。本通报说明产品更新、客服渠道与合规指引。
发布日期：2022年06月18日。生效日期：2022年07月18日。废止日期：2023年08月22日。产品代码：PRD0024。版本：V"
doc_129,,监管通报,data_security,0.9917,"【监管通报】第129号通报
条款强调个人信息保护与访问控制的加密机制。本通报说明产品更新、客服渠道与合规指引。
发布日期：2024年06月22日。生效日期：2024年07月22日。废止日期：2025年08月26日。产品代码：PRD0129。版本：V"
